CountryID,Country
240,United States
256,China Mainland
232,The Netherlands
224,Norway
248,Germany
128,France
216,Sweden
192,Switzerland
184,Belgium
208,Austria
200,Denmark
264,Italy
272,Spain
176,Portugal
280,Finland
124,United Kingdom
288,Luxemboug
512,Ireland
296,Czech Republic
64,Slovenia
168,Mexico 
312,Canada
304,Croatia
320,Greece
336,Iceland
144,Poland
68,Australia
12,Taiwan
592,Macao
344,Hong Kong
136,Japan
648,New Zealand
600,South Korea
584,Israel 
352,Jordan
328,United Arab Emirates
140,Singapore
132,Nigeria
96,Paraguay